disznó neve;disznó gender;súly(kg);kor(év)
Malac_1;kan;54.3;8
Malac_2;koca;279.14;4
Malac_3;koca;135.07;3
Malac_4;kan;130.43;4
Malac_5;kan;208.55;6
Malac_6;koca;148.37;2
Malac_7;koca;279.31;2
Malac_8;kan;217.19;5
Malac_9;koca;64.41;5
Malac_10;kan;244.16;8
Malac_11;koca;294.68;2
Malac_12;kan;170.3;1
Malac_13;kan;284.95;8
Malac_14;koca;219.02;1
Malac_15;koca;254.06;6
Malac_16;kan;152.97;2
Malac_17;kan;152.19;8
Malac_18;koca;273.57;7
Malac_19;koca;195.53;6
Malac_20;kan;85.68;3
Malac_21;kan;93.3;2
Malac_22;koca;261.54;5
Malac_23;koca;82.58;7
Malac_24;koca;108.47;8
Malac_25;koca;238.24;6
Malac_26;koca;247.94;2
Malac_27;koca;283.12;3
Malac_28;koca;285.66;6
Malac_29;koca;229.47;5
Malac_30;koca;171.78;1
Malac_31;kan;201.29;8
Malac_32;kan;269.24;7
Malac_33;koca;229.29;5
Malac_34;kan;289.1;5
Malac_35;koca;161.35;6
Malac_36;kan;58.84;2
Malac_37;kan;52.12;5
Malac_38;koca;278.27;7
Malac_39;koca;99.18;5
Malac_40;kan;279.82;7
Malac_41;kan;62.7;2
Malac_42;kan;72.33;6
Malac_43;koca;75.42;1
Malac_44;kan;177.13;1
Malac_45;kan;174.05;1
Malac_46;kan;75.58;6
Malac_47;koca;292.46;1
Malac_48;koca;115.24;1
Malac_49;kan;54.03;3
Malac_50;koca;230.83;8
